Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Inventory Qty,Variant Inventory Policy,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,kk.best_for,kk.size,kk.size_inches,kk.size_cm,kk.format,kk.pack_count,kk.bulk_tier,kk.material,kk.coating_sides,kk.thickness_mil,kk.temp_max_f,kk.temp_max_c,kk.color,kk.reusable,kk.one_liner,kk.bullet_1,kk.bullet_2,kk.bullet_3,kk.care_instructions,kk.storage_instructions
ptfe-cover-sheet-16x20,PTFE Heat Press Cover Sheet 16x20,"<p>A reusable nonstick sheet that protects your heat press platen from vinyl residue and ink transfer. Essential for HTV, sublimation, DTF, and screen print curing.</p>",Kraft & Kitchen,Cover Sheets,"heat-press, sublimation, htv, dtf, bestseller",TRUE,Pack Size,Single,,,KK-PTFE-16x20-1,8.99,,TRUE,TRUE,500,continue,https://cdn.shopify.com/placeholder/ptfe-cover-sheet.jpg,1,PTFE Cover Sheet 16x20 for heat press protection,PTFE Cover Sheet 16x20 | Kraft & Kitchen,Reusable PTFE cover sheet for heat press. Protects platen rated to 500°F. Fast shipping from WA.,"[""heat-press"", ""sublimation"", ""htv"", ""dtf""]",16x20,"16"" x 20""",40.6cm x 50.8cm,sheet,1,starter,PTFE-coated fiberglass,single,3.0,500,260,Beige/tan,TRUE,Protects your heat press platen from residue,Reusable hundreds of times,Rated to 500°F (260°C),Wipes clean easily,"Wipe clean with damp cloth while warm. For stubborn residue use plastic scraper.",Store flat - do not fold
ptfe-cover-sheet-16x20,PTFE Heat Press Cover Sheet 16x20,"<p>A reusable nonstick sheet that protects your heat press platen from vinyl residue and ink transfer. Essential for HTV, sublimation, DTF, and screen print curing.</p>",Kraft & Kitchen,Cover Sheets,"heat-press, sublimation, htv, dtf, bestseller",TRUE,Pack Size,2-Pack,,,KK-PTFE-16x20-2,14.99,,TRUE,TRUE,300,continue,,2,PTFE Cover Sheet 16x20 2-pack value,,,,"[""heat-press"", ""sublimation"", ""htv"", ""dtf""]",16x20,"16"" x 20""",40.6cm x 50.8cm,sheet,2,starter,PTFE-coated fiberglass,single,3.0,500,260,Beige/tan,TRUE,Protects your heat press platen from residue,Reusable hundreds of times,Rated to 500°F (260°C),Wipes clean easily,"Wipe clean with damp cloth while warm. For stubborn residue use plastic scraper.",Store flat - do not fold
ptfe-cover-sheet-16x20,PTFE Heat Press Cover Sheet 16x20,"<p>A reusable nonstick sheet that protects your heat press platen from vinyl residue and ink transfer. Essential for HTV, sublimation, DTF, and screen print curing.</p>",Kraft & Kitchen,Cover Sheets,"heat-press, sublimation, htv, dtf, bestseller",TRUE,Pack Size,5-Pack,,,KK-PTFE-16x20-5,29.99,,TRUE,TRUE,200,continue,,3,PTFE Cover Sheet 16x20 5-pack studio value,,,,"[""heat-press"", ""sublimation"", ""htv"", ""dtf""]",16x20,"16"" x 20""",40.6cm x 50.8cm,sheet,5,refill,PTFE-coated fiberglass,single,3.0,500,260,Beige/tan,TRUE,Protects your heat press platen from residue,Reusable hundreds of times,Rated to 500°F (260°C),Wipes clean easily,"Wipe clean with damp cloth while warm. For stubborn residue use plastic scraper.",Store flat - do not fold
ptfe-cover-sheet-18x20,PTFE Heat Press Cover Sheet 18x20,"<p>Larger size cover sheet for commercial heat presses. Same quality PTFE-coated fiberglass for edge-to-edge protection.</p>",Kraft & Kitchen,Cover Sheets,"heat-press, sublimation, htv, dtf, commercial",TRUE,Pack Size,Single,,,KK-PTFE-18x20-1,9.99,,TRUE,TRUE,300,continue,https://cdn.shopify.com/placeholder/ptfe-cover-sheet-18x20.jpg,1,PTFE Cover Sheet 18x20 for large commercial heat press,PTFE Cover Sheet 18x20 | Kraft & Kitchen,Large PTFE cover sheet for commercial heat press. Rated to 500°F. Fast shipping.,"[""heat-press"", ""sublimation"", ""htv"", ""dtf""]",18x20,"18"" x 20""",45.7cm x 50.8cm,sheet,1,starter,PTFE-coated fiberglass,single,3.0,500,260,Beige/tan,TRUE,Full coverage for commercial presses,Protects platen edge-to-edge,Rated to 500°F (260°C),Reusable hundreds of times,"Wipe clean with damp cloth while warm. For stubborn residue use plastic scraper.",Store flat - do not fold
ptfe-cover-sheet-12x15,PTFE Heat Press Cover Sheet 12x15,"<p>Compact cover sheet for mini and craft heat presses. Perfect size for smaller pressing projects.</p>",Kraft & Kitchen,Cover Sheets,"heat-press, sublimation, htv, craft",TRUE,Pack Size,Single,,,KK-PTFE-12x15-1,6.99,,TRUE,TRUE,400,continue,https://cdn.shopify.com/placeholder/ptfe-cover-sheet-12x15.jpg,1,PTFE Cover Sheet 12x15 for craft heat press,PTFE Cover Sheet 12x15 | Kraft & Kitchen,Compact PTFE cover sheet for craft presses. Rated to 500°F.,"[""heat-press"", ""sublimation"", ""htv""]",12x15,"12"" x 15""",30.5cm x 38.1cm,sheet,1,starter,PTFE-coated fiberglass,single,3.0,500,260,Beige/tan,TRUE,Perfect fit for craft presses,Compact size for smaller projects,Rated to 500°F (260°C),Same quality as larger sheets,"Wipe clean with damp cloth while warm. For stubborn residue use plastic scraper.",Store flat - do not fold
silicone-release-paper-letter-25,Silicone Release Paper 8.5x11 - 25 Pack,"<p>Double-sided nonstick paper for sticker storage and sticker books. Stickers peel clean from both sides without losing adhesive.</p>",Kraft & Kitchen,Release Paper,"stickers, sticker-book, transfers",TRUE,Title,Default Title,,,KK-SRP-LETTER-25,9.99,,TRUE,TRUE,400,continue,https://cdn.shopify.com/placeholder/release-paper-letter.jpg,1,Silicone Release Paper letter size 25 pack for sticker books,Sticker Book Paper 8.5x11 - 25 Pack | Kraft & Kitchen,Double-sided release paper for sticker books. Letter size fits binders. 25 sheets.,"[""stickers"", ""sticker-book"", ""transfers""]",8.5x11,"8.5"" x 11""",21.6cm x 27.9cm,sheet,25,starter,Silicone-coated paper,double,,,,,White,FALSE,Stickers peel clean from both sides,Fits standard 3-ring binders,Double-sided silicone coating,40lb weight moisture resistant,Store flat away from heat and direct sunlight,Store flat in binder or folder
silicone-release-paper-letter-50,Silicone Release Paper 8.5x11 - 50 Pack,"<p>Double-sided nonstick paper for sticker storage and sticker books. Stickers peel clean from both sides without losing adhesive.</p>",Kraft & Kitchen,Release Paper,"stickers, sticker-book, transfers, bestseller",TRUE,Title,Default Title,,,KK-SRP-LETTER-50,14.99,,TRUE,TRUE,600,continue,https://cdn.shopify.com/placeholder/release-paper-letter.jpg,1,Silicone Release Paper letter size 50 pack for sticker books,Sticker Book Paper 8.5x11 - 50 Pack | Kraft & Kitchen,Double-sided release paper for sticker books. Letter size. 50 sheets best value.,"[""stickers"", ""sticker-book"", ""transfers""]",8.5x11,"8.5"" x 11""",21.6cm x 27.9cm,sheet,50,refill,Silicone-coated paper,double,,,,,White,FALSE,Stickers peel clean from both sides,Fits standard 3-ring binders,Double-sided silicone coating,Best value for growing collections,Store flat away from heat and direct sunlight,Store flat in binder or folder
silicone-release-paper-letter-100,Silicone Release Paper 8.5x11 - 100 Pack,"<p>Double-sided nonstick paper for sticker storage and sticker books. Bulk pack for serious collectors and small businesses.</p>",Kraft & Kitchen,Release Paper,"stickers, sticker-book, transfers, bulk",TRUE,Title,Default Title,,,KK-SRP-LETTER-100,24.99,,TRUE,TRUE,400,continue,https://cdn.shopify.com/placeholder/release-paper-letter.jpg,1,Silicone Release Paper letter size 100 pack bulk,Sticker Book Paper 8.5x11 - 100 Pack | Kraft & Kitchen,Bulk release paper for sticker books. Letter size. 100 sheets for serious collectors.,"[""stickers"", ""sticker-book"", ""transfers""]",8.5x11,"8.5"" x 11""",21.6cm x 27.9cm,sheet,100,studio,Silicone-coated paper,double,,,,,White,FALSE,Stickers peel clean from both sides,Best value for serious collectors,Double-sided silicone coating,100 sheets bulk pack,Store flat away from heat and direct sunlight,Store flat in binder or folder
silicone-release-paper-legal-100,Silicone Release Paper 8.5x14 - 100 Pack,"<p>Legal size release paper for larger transfers and extended sticker storage. Double-sided silicone coating.</p>",Kraft & Kitchen,Release Paper,"transfers, stickers, legal-size",TRUE,Title,Default Title,,,KK-SRP-LEGAL-100,29.99,,TRUE,TRUE,200,continue,https://cdn.shopify.com/placeholder/release-paper-legal.jpg,1,Silicone Release Paper legal size 100 pack,Release Paper 8.5x14 Legal - 100 Pack | Kraft & Kitchen,Legal size release paper for larger transfers. Double-sided. 100 sheets.,"[""transfers"", ""stickers""]",8.5x14,"8.5"" x 14""",21.6cm x 35.6cm,sheet,100,studio,Silicone-coated paper,double,,,,,White,FALSE,Extended length for larger transfers,3 inches longer than letter size,Double-sided silicone coating,100 sheets bulk pack,Store flat away from heat and direct sunlight,Store flat
diamond-painting-squares-100,Diamond Painting Release Paper Squares 4x4 - 100 Pack,"<p>Pre-cut squares that protect your diamond painting adhesive while you work section by section. Double-sided silicone coating.</p>",Kraft & Kitchen,Diamond Painting,"diamond-painting, release-paper",TRUE,Title,Default Title,,,KK-DP-4x4-100,12.99,,TRUE,TRUE,500,continue,https://cdn.shopify.com/placeholder/diamond-squares.jpg,1,Diamond painting release paper squares 4x4 100 pack,Diamond Painting Squares 4x4 - 100 Pack | Kraft & Kitchen,Pre-cut 4x4 release paper squares for diamond painting. Protect adhesive while working.,"[""diamond-painting""]",4x4,"4"" x 4""",10.2cm x 10.2cm,square,100,refill,Silicone-coated paper,double,,,,,White,TRUE,Cover sections to keep adhesive clean,Pre-cut standard 4x4 size,Double-sided - use either side,Reusable until creased or soiled,Store flat in original packaging,Store flat - reuse until worn
